,시,이름,매장명,주소
5558,충북,컴포즈커피,청주동남지구점,"충북 청주시 상당구 중고개로141번길 11-17  지음프라자 104호,105호 (용암동)"
5559,서울,컴포즈커피,까치산시장점,서울 강서구 강서로16길 27 (화곡동)
5560,부산,컴포즈커피,하단강변점,부산 사하구 하신번영로 251 101호
5561,경북,컴포즈커피,울진북면점,경북 울진군 북면 울진북로 2124 
5562,경기,컴포즈커피,남양주진접점,경기 남양주시 진접읍 해밀예당1로 50-70 주건축물제1동 103호
5563,전북,컴포즈커피,익산부송점,전북 익산시 부송1로 69 (부송동)
5564,충남,컴포즈커피,서산석림점,"충남 서산시 석림1로 68 (석림동, 청운타워)"
5565,서울,컴포즈커피,자양신양초교점,서울 광진구 뚝섬로 533 
5566,전남,컴포즈커피,나주빛가람그린로점,전남 나주시 그린로 195 진흥빌딩 104호
5567,울산,컴포즈커피,울산테크노산단점,"울산 남구 테크노산업로82번길 52  501동 1층 118호 (두왕동, 대공원 호반베르디움 2차)"
5568,서울,컴포즈커피,중구저동점,서울 중구 수표로 32-1 (저동2가)
5569,경기,컴포즈커피,용인백현마을점,경기 용인시 기흥구 동백중앙로 358-19 101호
5570,경기,컴포즈커피,미사호반써밋점,경기 하남시 미사강변한강로 270-1 201동 1-204호
5571,서울,컴포즈커피,강서힐스테이트점,서울 강서구 우현로 16 102호
5572,전남,컴포즈커피,나주혁신점,전남 나주시 상야1길 21 B동 비 112-1호
5573,경남,컴포즈커피,양산가촌리점,경남 양산시 물금읍 가촌서로 14 (가촌리)
5574,경남,컴포즈커피,진주혁신사들로점,경남 진주시 사들로156번길 5  101호 (충무공동)
5575,경남,컴포즈커피,진해풍호점,경남 창원시 진해구 풍호로 43 102호
5576,경기,컴포즈커피,포천송우리점,경기 포천시 소흘읍 송우로 61 101호
5577,제주,컴포즈커피,제주하귀점,제주특별자치도 제주시 애월읍 하귀9길 1 (하귀1리)
5578,인천,컴포즈커피,주안시민공원점,인천 미추홀구 미추홀대로 688 (주안동)
5579,전남,컴포즈커피,순천신대점,전남 순천시 해룡면 향매로 105 (신대리)
5580,부산,컴포즈커피,금련산점,부산 수영구 수영로 465 (남천동)
5581,경기,컴포즈커피,안산고잔동점,경기 안산시 단원구 광덕동로 55 105호
5582,서울,컴포즈커피,개봉푸르지오,서울 구로구 고척로 123 
5583,서울,컴포즈커피,우장산역점,서울 강서구 강서로 261 (내발산동)
5584,경기,컴포즈커피,금촌로터리점,경기 파주시 후곡로 2 (금촌동)
5585,인천,컴포즈커피,계산DS점,인천 계양구 경명대로 1130 (계산동)
5586,서울,컴포즈커피,동대문쇼핑몰점,서울 중구 퇴계로73가길 46 (신당동)
5587,부산,컴포즈커피,남구청점,부산 남구 못골로12번길 35  101호 (대연동)
5588,경기,컴포즈커피,수원아주대점,경기 수원시 팔달구 아주로 49 (우만동)
5589,강원,컴포즈커피,원주혁신중흥점,강원 원주시 배울로 27 (반곡동)
5590,경기,컴포즈커피,일산백마점,경기 고양시 일산동구 일산로 227 (마두동)
5591,경북,컴포즈커피,경주황오점,경북 경주시 계림로 110-1 (황오동)
5592,부산,컴포즈커피,가락호계로점,부산 강서구 호계로 8 
5593,광주,컴포즈커피,광주쌍촌호반점,광주 서구 상일로 52-1 (쌍촌동)
5594,광주,컴포즈커피,광주운암벽산점,광주 북구 대자로 64-1 (운암동)
5595,경기,컴포즈커피,안양인덕원점,경기 안양시 동안구 관악대로 474 (관양동)
5596,서울,컴포즈커피,이수총신대점,서울 동작구 동작대로27길 16-7 (사당동)
5597,인천,컴포즈커피,영종하늘달빛점,인천 중구 하늘달빛로 70 (중산동)
5598,인천,컴포즈커피,송도더테라스점,인천 연수구 센트럴로 415 S동 153호
5599,경남,컴포즈커피,진해충장로점,경남 창원시 진해구 충장로 132 (충무동)
5600,제주,컴포즈커피,서귀포성산점,제주특별자치도 서귀포시 성산읍 일주동로 4229 (고성리)
5601,경기,컴포즈커피,시흥물왕점,경기 시흥시 목감남서로 9-19 (조남동)
5602,경기,컴포즈커피,분당서현점,경기 성남시 분당구 서현로 192 108호
5603,경기,컴포즈커피,김포장기점,경기 김포시 김포한강4로 117 108호
5604,경기,컴포즈커피,안산그랑시티점,경기 안산시 상록구 해양5로 11 그랑시티자이2차 그린생활시설 136호
5605,경남,컴포즈커피,창원봉곡시장점,"경남 창원시 의창구 창이대로309번길 11  102호 (봉곡동, 쌍둥이상가)"
5606,경기,컴포즈커피,시흥목감점,"경기 시흥시 목감우회로 45 (목감동, 한울플러스)"
5607,인천,컴포즈커피,인천간석점,인천 남동구 경인로 520 지하1층 B06호
5608,인천,컴포즈커피,인하헤리움점,"인천 미추홀구 용정공원로83번길 49  111호 (용현동, 인하대역 헤리움 메트로 타워)"
5609,서울,컴포즈커피,망원역점,서울 마포구 월드컵로 84 (서교동)
5610,서울,컴포즈커피,노원역점,서울 노원구 동일로 1426 108호
5611,경남,컴포즈커피,양산양주로점,경남 양산시 양주로 38 103호
5612,부산,컴포즈커피,구남역점,부산 북구 백양대로1015번길 8 (구포동)
5613,경남,컴포즈커피,양산반도유보라점,경남 양산시 물금읍 범어로 57 101호
5614,전남,컴포즈커피,순천용당점,전남 순천시 용당삼산로 11 순천에스병원 102호
5615,인천,컴포즈커피,송도파크자이DS점,"인천 연수구 능허대로289번길 17  105,106호 (동춘동, 원효빌딩)"
5616,인천,컴포즈커피,계양구청점,인천 계양구 계양문화로 96 101호
5617,인천,컴포즈커피,송도타임스페이스점,"인천 연수구 하모니로 158 (송도동, 송도타임스페이스)"
5618,경북,컴포즈커피,포항우현점,경북 포항시 북구 아치로 7 (우현동)
5619,경기,컴포즈커피,가천대학점,경기 성남시 수정구 성남대로 1330 110호
5620,경기,컴포즈커피,남양주평내점,"경기 남양주시 평내로29번길 49  105호 (평내동, 평내엠투프라자)"
5621,서울,컴포즈커피,신방화역점,서울 강서구 마곡중앙5로 81 104호
5622,서울,컴포즈커피,화곡중앙시장점,서울 강서구 가로공원로76길 53 (화곡동)
5623,강원,컴포즈커피,강릉교동점,강원 강릉시 솔올로 38 101호
5624,경남,컴포즈커피,김해부원점,경남 김해시 가락로 7 (부원동)
5625,경남,컴포즈커피,밀양삼문점,경남 밀양시 중앙로 257 
5626,인천,컴포즈커피,인천나은병원점,"인천 서구 원적로47번길 6 103동 상가 116호, 126호"
5627,광주,컴포즈커피,광주수완초등학교점,"광주 광산구 장덕로137번길 17  상가동 1층 101호 (수완동, 수완진아리채2차아파트)"
5628,경기,컴포즈커피,광명U플래닛데시앙점,경기 광명시 양지로 11 A-1동 A143호
5629,경기,컴포즈커피,평택서정점,경기 평택시 서정역로 29 (서정동)
5630,서울,컴포즈커피,장안래미안점,서울 동대문구 장한로28길 48 로얄상가 1층 101호
5631,서울,컴포즈커피,압구정로데오점,"서울 강남구 선릉로 815 (신사동, 신한양빌딩)"
5632,부산,컴포즈커피,문탠로드점,부산 해운대구 청사포로 27 1층 108호
5633,서울,컴포즈커피,신당역점,"서울 중구 퇴계로80길 1 101,102호"
5634,경기,컴포즈커피,성남수진푸르지오점,경기 성남시 중원구 광명로 89 112호
5635,경기,컴포즈커피,시흥대야점,경기 시흥시 은계로 353 102호
5636,서울,컴포즈커피,망원우체국사거리점,서울 마포구 월드컵로 111 풍성빌딩 1층
5637,인천,컴포즈커피,청라센트럴프라자점,"인천 서구 중봉대로 588 (청라동, 청라센트럴프라자)"
5638,경기,컴포즈커피,남양주도농점,경기 남양주시 미금로 52 1층
5639,서울,컴포즈커피,화곡본동시장점,서울 강서구 까치산로 29 
5640,서울,컴포즈커피,내발산점,서울 강서구 강서로48길 9 (내발산동)
5641,광주,컴포즈커피,광주연제점,광주 북구 양일1로 25 106호
5642,인천,컴포즈커피,인천만수점,인천 남동구 하촌로 35 (만수동)
5643,인천,컴포즈커피,인천시청점,인천 남동구 구월남로 116 (구월동)
